source_number,academic_unit,transition_2026,category_code,category_name,primary_none,primary_one,primary_two,requirement_detail,double_major_none,double_major_one,reference_note,source_note
20,행정정보학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업 등 취업자",,선택,,
20,행정정보학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
21,사회복지학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,시험,,필수,,
21,사회복지학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"자격증, 외국어",,,* 복수전공생 및 외국인 학생 선택조건 면제,
21,사회복지학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
21,사회복지학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
22,아동학과,기존·표준화 자격요건 모두 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,선택,보고서(본과동아리 두학기 활동 및 보고서 제출),,선택,※ [특이사항] 아동학과 외국인유학생(이중언어포함) - (표준화자격)학과별 자격 지정 현황 참고,"2026학년도 : 기존자격 및 표준화 자격 모두 진행 함, 학생 선택에 따름"
22,아동학과,기존·표준화 자격요건 모두 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,선택,"외국어, 자격증",,선택,,
22,아동학과,기존·표준화 자격요건 모두 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
22,아동학과,기존·표준화 자격요건 모두 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,필수,비교과 30H(아동학과 비교과 24H포함) *외국인(이중언어포함)제외,,선택,,
23,미디어커뮤니케이션학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,선택,"논문, 졸업시험, 졸업작품",,선택,* 졸업시험,
23,미디어커뮤니케이션학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"외국어(토익 600점 필수, 논문 대체 자격은 (표준화자격)학과별 자격 지정 현황 참고), 수상",,선택,"※ [특이사항] 외국어((표준화자격)학과별 자격 지정 현황 참고), 수상",
23,미디어커뮤니케이션학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,선택,취업,,,,
23,미디어커뮤니케이션학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
24,문헌정보학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문,,선택,,
24,문헌정보학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
24,문헌정보학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
24,문헌정보학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
25,의생명과학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,"논문, 시험",,선택,,
25,의생명과학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
25,의생명과학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, ROTC임관",,선택,,
25,의생명과학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,선택,,"비교과(60~80H), 봉사제외",,선택,,
26,간호학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,졸업시험,,,학과 홈페이지 참고,
26,간호학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
26,간호학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
26,간호학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,"※ [특이사항] 2027년 이후 봉사활동(신입생60시간,편입생30시간) 추가 적용 예정",
27,스포츠건강과학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,시험,,선택,,
27,스포츠건강과학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
27,스포츠건강과학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
27,스포츠건강과학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
28,식품영양학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,시험,,필수,,
28,식품영양학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"자격증(2개), 외국어(1개)",,,"※ [특이사항] 편입생 : 자격증(1개), 외국어(1개)",
28,식품영양학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
28,식품영양학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
29,보건경영학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,시험,,,,
29,보건경영학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,필수,"* 자격증, 외국어",
29,보건경영학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
29,보건경영학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
30,수학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,졸업시험,,필수,※ [특이사항] 졸업시험(3과목) : 외국어성적 및 자격 취득 시 시험과목 면제((표준화자격)학과별 자격 지정 현황 참고),
30,수학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
30,수학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
30,수학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
31,데이터사이언스학과,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,필수,,졸업시험,,필수,※ [특이사항] 졸업시험(3과목) : 외국어성적 및 자격 취득 시 시험과목 면제((표준화자격)학과별 자격 지정 현황 참고),
31,데이터사이언스학과,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
31,데이터사이언스학과,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,,,,,,,
31,데이터사이언스학과,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
32,에코응용화학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,"논문, 시험",,선택,,
32,에코응용화학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,선택,,"자격증, 외국어",,선택,,
32,에코응용화학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,ROTC 임관,,선택,,
32,에코응용화학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,선택,,논문(작품),,선택,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,,,,,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,선택,,"취업, 창업, ROTC임관",,선택,,
33,스마트모빌리티전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,작품발표,,선택,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,C,"창의 및 인증 심사(자격증, 외국어, 수상 등)",,,필수,"자격증, 외국어",,,※ [특이사항] 본과 외국인학생 : 작품발표(C영역 미적용),
34,컴퓨터공학전공,표준화 자격요건 바로 적용,E,"경험 및 경력 심사(취업, 창업, 인턴(3M), 현장실습(6~9P))",,필수,,"취업, 창업, ROTC임관",,선택,,
34,컴퓨터공학전공,표준화 자격요건 바로 적용,S,"봉사 및 비교과 심사(봉사(30~60H), 비교과(60~80H))",,,,,,,,
35,AI빅데이터전공,표준화 자격요건 바로 적용,A,"학문 심사(논문, 시험, 작품, 보고서)",,,필수,"작품발표, 논문",,선택,,
